"ID番号","pt0503","眼","開眼"
"氏名","おもり","姿勢","立位"
"性別","男","病名","正常"
"年齢","18.00","メモ",
"身長(cm)","177.00","検査者",
"体重(kg)","20.00"
"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
0.930,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.940,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.950,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.960,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.970,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.980,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.990,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.000,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.010,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.020,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.030,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.040,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.050,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.060,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.070,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.080,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.090,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.100,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.110,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.120,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.130,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.140,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.150,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.160,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.170,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.180,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.190,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.200,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.210,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.220,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.230,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.240,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.250,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.260,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.270,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.280,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.290,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.300,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.310,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.320,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.330,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.340,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.350,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.360,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.370,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.380,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.390,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.400,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.410,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.420,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.430,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.440,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.450,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.460,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.470,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.480,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.490,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.500,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.510,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
